government                    236 occurrences
order                         77 occurrences
democratic                    77 occurrences
saying                        76 occurrences
private                       76 occurrences
support                       74 occurrences
cnn                           74 occurrences
agents                        73 occurrences
times                         73 occurrences
off                           73 occurrences
reported                      73 occurrences
meeting                       73 occurrences
north                         72 occurrences
doing                         71 occurrences
daily                         71 occurrences
week                          71 occurrences
family                        70 occurrences
york                          70 occurrences
dnc                           70 occurrences
criminal                      70 occurrences
believe                       70 occurrences
health                        69 occurrences
republicans                   69 occurrences
whether                       69 occurrences
found                         68 occurrences
took                          68 occurrences
call                          68 occurrences
ryan                          67 occurrences
senior                        67 occurrences
change                        66 occurrences
still                         66 occurrences
below                         66 occurrences
care                          66 occurrences
uranium                       65 occurrences
big                           65 occurrences
nothing                       65 occurrences
policy                        65 occurrences
friday                        65 occurrences
senator                       64 occurrences
around                        64 occurrences
plan                          64 occurrences
power                         64 occurrences
given                         64 occurrences
wrote                         64 occurrences
attack                        63 occurrences
rice                          63 occurrences
rich                          63 occurrences
best                          63 occurrences
things                        63 occurrences
action                        63 occurrences
mccain                        63 occurrences
making                        62 occurrences
again                         62 occurrences
anything                      62 occurrences
foundation                    62 occurrences
four                          62 occurrences
morning                       61 occurrences
really                        61 occurrences
pay                           61 occurrences
without                       61 occurrences
citizens                      61 occurrences
sent                          61 occurrences
give                          60 occurrences
reports                       60 occurrences
rep                           60 occurrences
irs                           60 occurrences
came                          60 occurrences
keep                          59 occurrences
immigration                   59 occurrences
working                       59 occurrences
source                        59 occurrences
barack                        59 occurrences
sources                       59 occurrences
matter                        59 occurrences
fact                          59 occurrences
doesn                         59 occurrences
entire                        58 occurrences
anyone                        58 occurrences
end                           58 occurrences
groups                        58 occurrences
countries                     58 occurrences
fraud                         58 occurrences
gave                          58 occurrences
story                         57 occurrences
probe                         56 occurrences
ever                          56 occurrences
speech                        56 occurrences
city                          56 occurrences
stamp                         56 occurrences
james                         56 occurrences
decision                      55 occurrences
dossier                       55 occurrences
put                           55 occurrences
later                         55 occurrences
effort                        55 occurrences
home                          55 occurrences
school                        55 occurrences
free                          55 occurrences
find                          54 occurrences
mueller                       54 occurrences
war                           54 occurrences
wikileaks                     54 occurrences
muslim                        54 occurrences
something                     53 occurrences
question                      53 occurrences
border                        53 occurrences
months                        53 occurrences
clear                         53 occurrences
top                           53 occurrences
long                          53 occurrences
march                         53 occurrences
team                          53 occurrences
trying                        52 occurrences
number                        52 occurrences
several                       52 occurrences
young                         52 occurrences
announced                     52 occurrences
enforcement                   52 occurrences
judicial                      52 occurrences
obamacare                     52 occurrences
fired                         52 occurrences
involved                      51 occurrences
efforts                       51 occurrences
korea                         51 occurrences
different                     51 occurrences
next                          50 occurrences
caller                        50 occurrences
release                       50 occurrences
together                      50 occurrences
staff                         50 occurrences
open                          50 occurrences
few                           50 occurrences
history                       50 occurrences
past                          50 occurrences
california                    49 occurrences
legal                         49 occurrences
look                          49 occurrences
paul                          49 occurrences
iran                          49 occurrences
person                        49 occurrences
job                           48 occurrences
billion                       48 occurrences
wife                          48 occurrences
military                      48 occurrences
high                          48 occurrences
within                        48 occurrences
personal                      48 occurrences
tuesday                       48 occurrences
worked                        48 occurrences
stop                          48 occurrences
tell                          48 occurrences
computer                      47 occurrences
away                          47 occurrences
once                          47 occurrences
wall                          47 occurrences
thing                         47 occurrences
calling                       46 occurrences
might                         46 occurrences
social                        46 occurrences
service                       46 occurrences
democrat                      46 occurrences
access                        46 occurrences
college                       46 occurrences
interview                     46 occurrences
percent                       46 occurrences
better                        46 occurrences
response                      46 occurrences
among                         45 occurrences
place                         45 occurrences
benefits                      45 occurrences
using                         45 occurrences
october                       45 occurrences
previous                      45 occurrences
april                         44 occurrences
community                     44 occurrences
leaders                       44 occurrences
funds                         44 occurrences
wednesday                     44 occurrences
nation                        44 occurrences
via                           44 occurrences
become                        44 occurrences
real                          44 occurrences
based                         44 occurrences
company                       43 occurrences
agencies                      43 occurrences
june                          43 occurrences
sen                           43 occurrences
process                       43 occurrences
classified                    43 occurrences
already                       43 occurrences
point                         43 occurrences
far                           43 occurrences
dollars                       43 occurrences
men                           42 occurrences
everything                    42 occurrences
possible                      42 occurrences
students                      42 occurrences
set                           42 occurrences
bureau                        42 occurrences
everyone                      42 occurrences
executive                     42 occurrences
recently                      42 occurrences
second                        41 occurrences
organizations                 41 occurrences
shot                          41 occurrences
least                         41 occurrences
full                          41 occurrences
putin                         41 occurrences
supreme                       41 occurrences
future                        41 occurrences
cia                           41 occurrences
control                       41 occurrences
doj                           41 occurrences
post                          41 occurrences
spoke                         41 occurrences
recent                        41 occurrences
small                         41 occurrences
sure                          40 occurrences
rights                        40 occurrences
received                      40 occurrences
known                         40 occurrences
five                          40 occurrences
knew                          40 occurrences
allowed                       40 occurrences
stand                         40 occurrences
member                        40 occurrences
comes                         40 occurrences
wanted                        40 occurrences
local                         39 occurrences
july                          39 occurrences
flynn                         39 occurrences
previously                    39 occurrences
agent                         39 occurrences
lawmakers                     39 occurrences
night                         39 occurrences
yet                           39 occurrences
friends                       39 occurrences
days                          39 occurrences
able                          38 occurrences
district                      38 occurrences
close                         38 occurrences
weapons                       38 occurrences
taken                         38 occurrences
freedom                       38 occurrences
fight                         38 occurrences
provided                      38 occurrences
month                         38 occurrences
firm                          38 occurrences
issue                         38 occurrences
funding                       38 occurrences
details                       38 occurrences
talk                          38 occurrences
lawyers                       38 occurrences
move                          38 occurrences
guy                           38 occurrences
won                           38 occurrences
ambassador                    38 occurrences
millions                      38 occurrences
claims                        37 occurrences
lawyer                        37 occurrences
answer                        37 occurrences
life                          37 occurrences
having                        37 occurrences
september                     37 occurrences
ago                           37 occurrences
needs                         37 occurrences
counsel                       37 occurrences
deputy                        37 occurrences
run                           37 occurrences
center                        37 occurrences
love                          37 occurrences
done                          37 occurrences
course                        37 occurrences
regime                        37 occurrences
seen                          37 occurrences
friend                        36 occurrences
until                         36 occurrences
violence                      36 occurrences
current                       36 occurrences
conference                    36 occurrences
monday                        36 occurrences
getting                       36 occurrences
involving                     36 occurrences
children                      36 occurrences
stated                        36 occurrences
issues                        36 occurrences
flag                          36 occurrences
truth                         36 occurrences
others                        36 occurrences
lynch                         36 occurrences
chief                         36 occurrences
refugees                      36 occurrences
clearly                       36 occurrences
capitol                       36 occurrences
each                          36 occurrences
seth                          35 occurrences
enough                        35 occurrences
letter                        35 occurrences
reasons                       35 occurrences
claimed                       35 occurrences
comments                      35 occurrences
secret                        35 occurrences
missile                       35 occurrences
immigrants                    35 occurrences
international                 35 occurrences
chairman                      35 occurrences
town                          35 occurrences
related                       35 occurrences
continue                      35 occurrences
serious                       35 occurrences
hope                          35 occurrences
however                       35 occurrences
hard                          35 occurrences
budget                        35 occurrences
spent                         34 occurrences
held                          34 occurrences
adviser                       34 occurrences
actually                      34 occurrences
little                        34 occurrences
server                        34 occurrences
weeks                         34 occurrences
important                     34 occurrences
thousands                     34 occurrences
likely                        34 occurrences
employees                     34 occurrences
role                          34 occurrences
islamic                       34 occurrences
jobs                          34 occurrences
syria                         34 occurrences
soros                         34 occurrences
texas                         34 occurrences
data                          34 occurrences
january                       33 occurrences
economic                      33 occurrences
respect                       33 occurrences
plans                         33 occurrences
failed                        33 occurrences
questions                     33 occurrences
added                         33 occurrences
shooting                      33 occurrences
nearly                        33 occurrences
susan                         33 occurrences
fake                          33 occurrences
candidate                     32 occurrences
informant                     32 occurrences
request                       32 occurrences
began                         32 occurrences
huge                          32 occurrences
deep                          32 occurrences
breitbart                     32 occurrences
scandal                       32 occurrences
major                         32 occurrences
leader                        32 occurrences
identified                    32 occurrences
happened                      32 occurrences
saturday                      32 occurrences
provide                       32 occurrences
started                       32 occurrences
governor                      32 occurrences
always                        32 occurrences
shows                         32 occurrences
officers                      32 occurrences
concerns                      32 occurrences
sunday                        32 occurrences
death                         32 occurrences
thought                       32 occurrences
remember                      32 occurrences
strong                        32 occurrences
steve                         31 occurrences
problem                       31 occurrences
agreement                     31 occurrences
andrew                        31 occurrences
society                       31 occurrences
november                      31 occurrences
moment                        31 occurrences
behind                        31 occurrences
george                        31 occurrences
level                         31 occurrences
officer                       31 occurrences
votes                         31 occurrences
women                         31 occurrences
discuss                       31 occurrences
exchange                      31 occurrences
almost                        31 occurrences
interests                     31 occurrences
thursday                      31 occurrences
across                        31 occurrences
rules                         31 occurrences
less                          30 occurrences
south                         30 occurrences
lot                           30 occurrences
taking                        30 occurrences
aliens                        30 occurrences
nominee                       30 occurrences
mayor                         30 occurrences
old                           30 occurrences
live                          30 occurrences
hill                          30 occurrences
charge                        30 occurrences
knows                         30 occurrences
virginia                      30 occurrences
intel                         30 occurrences
crime                         30 occurrences
else                          30 occurrences
leadership                    30 occurrences
name                          30 occurrences
lawsuit                       30 occurrences
late                          30 occurrences
yes                           30 occurrences
isn                           30 occurrences
cash                          30 occurrences
investigators                 29 occurrences
wants                         29 occurrences
idea                          29 occurrences
immediately                   29 occurrences
terrorists                    29 occurrences
document                      29 occurrences
someone                       29 occurrences
looking                       29 occurrences
further                       29 occurrences
position                      29 occurrences
conservative                  29 occurrences
council                       29 occurrences
human                         29 occurrences
facebook                      29 occurrences
early                         29 occurrences
talking                       29 occurrences
status                        29 occurrences
spy                           29 occurrences
policies                      29 occurrences
civil                         29 occurrences
building                      29 occurrences
amount                        29 occurrences
woman                         29 occurrences
start                         29 occurrences
paid                          29 occurrences
flags                         29 occurrences
message                       29 occurrences
university                    29 occurrences
whose                         29 occurrences
taxes                         28 occurrences
heard                         28 occurrences
market                        28 occurrences
organization                  28 occurrences
ties                          28 occurrences
revealed                      28 occurrences
sessions                      28 occurrences
opposition                    28 occurrences
comment                       28 occurrences
speaking                      28 occurrences
florida                       28 occurrences
running                       28 occurrences
record                        28 occurrences
telling                       28 occurrences
fire                          28 occurrences
especially                    28 occurrences
unmasking                     28 occurrences
cut                           28 occurrences
single                        28 occurrences
sensitive                     28 occurrences
voter                         28 occurrences
defend                        28 occurrences
internal                      28 occurrences
fusion                        28 occurrences
financial                     28 occurrences
himself                       28 occurrences
february                      28 occurrences
continued                     28 occurrences
electoral                     28 occurrences
speak                         27 occurrences
along                         27 occurrences
statements                    27 occurrences
removed                       27 occurrences
turned                        27 occurrences
met                           27 occurrences
arrested                      27 occurrences
twitter                       27 occurrences
line                          27 occurrences
families                      27 occurrences
reform                        27 occurrences
kind                          27 occurrences
acting                        27 occurrences
lives                         27 occurrences
coming                        27 occurrences
bad                           27 occurrences
paris                         27 occurrences
elected                       27 occurrences
spokesman                     27 occurrences
student                       27 occurrences
internet                      27 occurrences
due                           27 occurrences
county                        27 occurrences
reason                        27 occurrences
climate                       27 occurrences
voters                        27 occurrences
hold                          27 occurrences
pass                          27 occurrences
true                          27 occurrences
hearing                       27 occurrences
often                         27 occurrences
joe                           26 occurrences
decided                       26 occurrences
situation                     26 occurrences
abid                          26 occurrences
key                           26 occurrences
build                         26 occurrences
mexico                        26 occurrences
inside                        26 occurrences
article                       26 occurrences
corruption                    26 occurrences
served                        26 occurrences
street                        26 occurrences
politics                      26 occurrences
protect                       26 occurrences
water                         26 occurrences
defense                       26 occurrences
services                      26 occurrences
appeared                      26 occurrences
research                      26 occurrences
spending                      26 occurrences
include                       26 occurrences
filed                         26 occurrences
forward                       26 occurrences
terrorism                     26 occurrences
store                         26 occurrences
tom                           26 occurrences
black                         26 occurrences
wasn                          26 occurrences
technology                    26 occurrences
clintons                      26 occurrences
staffer                       26 occurrences
cost                          26 occurrences
shared                        26 occurrences
seek                          26 occurrences
giving                        26 occurrences
christopher                   25 occurrences
accused                       25 occurrences
words                         25 occurrences
toensing                      25 occurrences
candidates                    25 occurrences
stamps                        25 occurrences
bring                         25 occurrences
muslims                       25 occurrences
august                        25 occurrences
assange                       25 occurrences
hours                         25 occurrences
british                       25 occurrences
assistance                    25 occurrences
following                     25 occurrences
standing                      25 occurrences
search                        25 occurrences
large                         25 occurrences
makes                         25 occurrences
steele                        25 occurrences
repeal                        25 occurrences
result                        25 occurrences
total                         25 occurrences
mcmaster                      25 occurrences
room                          25 occurrences
board                         25 occurrences
safe                          25 occurrences
attacks                       25 occurrences
lost                          25 occurrences
needed                        25 occurrences
lerner                        25 occurrences
tried                         25 occurrences
gop                           25 occurrences
gps                           25 occurrences
earlier                       25 occurrences
hall                          25 occurrences
hud                           25 occurrences
amendment                     25 occurrences
investigate                   25 occurrences
constitution                  24 occurrences
latest                        24 occurrences
graham                        24 occurrences
refused                       24 occurrences
brothers                      24 occurrences
popular                       24 occurrences
outside                       24 occurrences
syrian                        24 occurrences
travel                        24 occurrences
specifically                  24 occurrences
mike                          24 occurrences
familiar                      24 occurrences
per                           24 occurrences
individuals                   24 occurrences
russians                      24 occurrences
address                       24 occurrences
san                           24 occurrences
rosenstein                    24 occurrences
southern                      24 occurrences
tonight                       24 occurrences
example                       24 occurrences
dozens                        24 occurrences
scalise                       24 occurrences
representatives               24 occurrences
expected                      24 occurrences
hit                           24 occurrences
informed                      24 occurrences
minister                      24 occurrences
continues                     24 occurrences
sean                          24 occurrences
isis                          23 occurrences
near                          23 occurrences
memo                          23 occurrences
interest                      23 occurrences
language                      23 occurrences
robert                        23 occurrences
citizen                       23 occurrences
side                          23 occurrences
sign                          23 occurrences
refugee                       23 occurrences
attempt                       23 occurrences
mcauliffe                     23 occurrences
list                          23 occurrences
themselves                    23 occurrences
project                       23 occurrences
rather                        23 occurrences
cases                         23 occurrences
green                         23 occurrences
six                           23 occurrences
issued                        23 occurrences
interference                  23 occurrences
ground                        23 occurrences
insurance                     23 occurrences
attention                     23 occurrences
happen                        23 occurrences
programs                      23 occurrences
share                         23 occurrences
bank                          23 occurrences
mean                          22 occurrences
names                         22 occurrences
jeff                          22 occurrences
agenda                        22 occurrences
authority                     22 occurrences
asking                        22 occurrences
brought                       22 occurrences
grant                         22 occurrences
conservatives                 22 occurrences
significant                   22 occurrences
described                     22 occurrences
air                           22 occurrences
ask                           22 occurrences
thank                         22 occurrences
material                      22 occurrences
influence                     22 occurrences
ran                           22 occurrences
red                           22 occurrences
cover                         22 occurrences
living                        22 occurrences
files                         22 occurrences
direct                        22 occurrences
supporters                    22 occurrences
testimony                     22 occurrences
terrorist                     22 occurrences
though                        22 occurrences
willing                       22 occurrences
front                         22 occurrences
messages                      22 occurrences
majority                      22 occurrences
review                        22 occurrences
false                         22 occurrences
loretta                       22 occurrences
abedin                        22 occurrences
leaked                        22 occurrences
guilty                        22 occurrences
responsible                   22 occurrences
allow                         22 occurrences
body                          22 occurrences
step                          22 occurrences
prevent                       22 occurrences
instead                       21 occurrences
meet                          21 occurrences
area                          21 occurrences
calls                         21 occurrences
head                          21 occurrences
hear                          21 occurrences
led                           21 occurrences
finally                       21 occurrences
facts                         21 occurrences
biggest                       21 occurrences
simply                        21 occurrences
middle                        21 occurrences
pretty                        21 occurrences
areas                         21 occurrences
multiple                      21 occurrences
lied                          21 occurrences
costs                         21 occurrences
victims                       21 occurrences
awan                          21 occurrences
tweeted                       21 occurrences
lying                         21 occurrences
brennan                       21 occurrences
interesting                   21 occurrences
imran                         21 occurrences
taxpayers                     21 occurrences
problems                      21 occurrences
personnel                     21 occurrences
saw                           21 occurrences
strike                        21 occurrences
gorsuch                       21 occurrences
voted                         21 occurrences
alien                         21 occurrences
network                       21 occurrences
cause                         21 occurrences
park                          21 occurrences
goes                          21 occurrences
mark                          21 occurrences
charged                       21 occurrences
force                         21 occurrences
individual                    21 occurrences
face                          21 occurrences
hands                         21 occurrences
scott                         21 occurrences
target                        21 occurrences
became                        21 occurrences
subject                       21 occurrences
serve                         20 occurrences
numbers                       20 occurrences
events                        20 occurrences
ordered                       20 occurrences
feel                          20 occurrences
gets                          20 occurrences
illegals                      20 occurrences
incident                      20 occurrences
global                        20 occurrences
surveillance                  20 occurrences
radical                       20 occurrences
class                         20 occurrences
account                       20 occurrences
thinks                        20 occurrences
agree                         20 occurrences
listen                        20 occurrences
kelly                         20 occurrences
agreed                        20 occurrences
value                         20 occurrences
raised                        20 occurrences
allies                        20 occurrences
haven                         20 occurrences
perez                         20 occurrences
assistant                     20 occurrences
regarding                     20 occurrences
murder                        20 occurrences
snap                          20 occurrences
threat                        20 occurrences
offered                       20 occurrences
statues                       20 occurrences
investigating                 20 occurrences
hundreds                      20 occurrences
liberal                       20 occurrences
limited                       20 occurrences
independent                   20 occurrences
certainly                     20 occurrences
contract                      20 occurrences
relations                     20 occurrences
numerous                      20 occurrences
present                       20 occurrences
rule                          19 occurrences
voting                        19 occurrences
hannity                       19 occurrences
islam                         19 occurrences
lead                          19 occurrences
push                          19 occurrences
inspector                     19 occurrences
authorities                   19 occurrences
chemical                      19 occurrences
signed                        19 occurrences
hacking                       19 occurrences
actions                       19 occurrences
hunt                          19 occurrences
takes                         19 occurrences
moscow                        19 occurrences
brotherhood                   19 occurrences
tells                         19 occurrences
cuba                          19 occurrences
type                          19 occurrences
regulations                   19 occurrences
nsa                           19 occurrences
fighting                      19 occurrences
tillerson                     19 occurrences
hunting                       19 occurrences
healthcare                    19 occurrences
wasserman                     19 occurrences
michael                       19 occurrences
separate                      19 occurrences
union                         19 occurrences
file                          19 occurrences
approved                      19 occurrences
included                      19 occurrences
bannon                        19 occurrences
congressman                   19 occurrences
probably                      19 occurrences
massive                       19 occurrences
stood                         19 occurrences
results                       19 occurrences
caught                        19 occurrences
visit                         19 occurrences
none                          19 occurrences
meant                         19 occurrences
means                         19 occurrences
denied                        19 occurrences
income                        19 occurrences
believed                      19 occurrences
believes                      19 occurrences
housing                       19 occurrences
china                         19 occurrences
host                          19 occurrences
main                          19 occurrences
breaking                      19 occurrences
explain                       19 occurrences
wrong                         19 occurrences
laws                          19 occurrences
businesses                    19 occurrences
racist                        19 occurrences
charges                       19 occurrences
hack                          19 occurrences
father                        19 occurrences
supposed                      19 occurrences
zero                          19 occurrences
hand                          19 occurrences
elections                     19 occurrences
hate                          19 occurrences
systems                       19 occurrences
ballistic                     19 occurrences
despite                       19 occurrences
headquarters                  19 occurrences
focus                         19 occurrences
activities                    19 occurrences
receiving                     19 occurrences
yesterday                     18 occurrences
showed                        18 occurrences
receive                       18 occurrences
worse                         18 occurrences
field                         18 occurrences
chance                        18 occurrences
affordable                    18 occurrences
vice                          18 occurrences
claim                         18 occurrences
repeatedly                    18 occurrences
contained                     18 occurrences
chair                         18 occurrences
maybe                         18 occurrences
tennessee                     18 occurrences
created                       18 occurrences
israel                        18 occurrences
division                      18 occurrences
period                        18 occurrences
seeking                       18 occurrences
clapper                       18 occurrences
protest                       18 occurrences
destroy                       18 occurrences
realdonaldtrump               18 occurrences
europe                        18 occurrences
count                         18 occurrences
